Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
10/20/2023,EQ,"3,450.40","3,499.50","3,444.05","3,455.65","3,491.85","3,494.55","3,485.40","3,679.00","3,070.25","14,81,211","5,16,26,09,717.10","1,42,361"
10/19/2023,EQ,"3,469.50","3,476.85","3,451.90","3,487.25","3,454.80","3,455.65","3,461.86","3,679.00","3,070.25","15,14,545","5,24,31,45,783.65","1,64,438"
10/18/2023,EQ,"3,511.00","3,522.70","3,484.00","3,507.05","3,492.50","3,487.25","3,500.28","3,679.00","3,070.25","14,08,245","4,92,92,45,451.05","1,47,692"
10/17/2023,EQ,"3,530.00","3,534.15","3,503.35","3,524.05","3,509.00","3,507.05","3,516.16","3,679.00","3,070.25","16,72,065","5,87,92,54,819.95","1,25,942"
10/16/2023,EQ,"3,566.00","3,574.65","3,519.10","3,570.85","3,521.00","3,524.05","3,539.03","3,679.00","3,070.25","16,71,104","5,91,40,86,791.50","1,62,600"
10/13/2023,EQ,"3,530.00","3,577.00","3,525.00","3,542.55","3,574.30","3,570.85","3,562.28","3,679.00","3,005.00","28,90,357","10,29,62,67,661.05","2,62,330"
10/12/2023,EQ,"3,575.00","3,588.65","3,538.10","3,609.90","3,543.00","3,542.55","3,555.40","3,679.00","3,005.00","42,41,281","15,07,94,40,683.50","3,14,201"
10/11/2023,EQ,"3,650.00","3,650.00","3,605.00","3,628.90","3,613.00","3,609.90","3,625.72","3,679.00","3,005.00","24,26,417","8,79,75,00,442.75","1,51,957"
10/10/2023,EQ,"3,640.05","3,648.00","3,601.35","3,638.35","3,629.50","3,628.90","3,623.90","3,679.00","3,005.00","18,48,148","6,69,75,11,578.25","1,70,957"
10/09/2023,EQ,"3,645.05","3,679.00","3,631.00","3,621.40","3,633.00","3,638.35","3,652.75","3,679.00","3,005.00","42,33,074","15,46,23,57,801.50","3,37,303"
