Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-AUG-2018,15021.95,15122.65,15017.25,15044.35,24780738.0,2076.49
17-AUG-2018,15059.95,15143.35,14982.35,15126.4,20667279.0,1560.31
20-AUG-2018,15033.65,15054.1,14946.55,14996.1,24589958.0,2171.68
21-AUG-2018,15072.45,15183.25,15041.85,15134.65,33908364.0,2518.6
23-AUG-2018,15195.0,15361.4,15185.25,15321.95,31146819.0,2699.69
24-AUG-2018,15337.9,15410.2,15239.35,15260.05,25436831.0,1823.64
27-AUG-2018,15285.1,15539.65,15274.35,15514.95,20065648.0,1619.87
28-AUG-2018,15546.5,15641.4,15528.4,15583.05,19466343.0,1673.87
29-AUG-2018,15617.0,15621.9,15439.45,15524.95,17453665.0,1547.25
30-AUG-2018,15519.6,15576.65,15428.1,15529.85,46739804.0,2877.12
31-AUG-2018,15575.95,15833.65,15567.5,15811.4,36217077.0,3125.57
03-SEP-2018,16013.05,16048.25,15703.0,15724.7,49869686.0,3264.48
04-SEP-2018,15799.35,16094.05,15783.55,16048.7,45117210.0,3577.66
05-SEP-2018,16088.7,16124.6,15976.45,16039.9,38993047.0,2663.08
06-SEP-2018,16047.95,16121.5,15932.65,16081.65,32781089.0,2324.78
07-SEP-2018,16126.25,16130.6,15975.0,16104.75,29097046.0,1867.34
10-SEP-2018,16150.65,16229.85,16085.5,16105.3,29956602.0,2024.75
11-SEP-2018,16182.0,16217.75,15970.1,15993.15,32423587.0,2772.96
12-SEP-2018,16092.1,16124.55,15977.85,16054.05,26710771.0,1964.88
14-SEP-2018,16046.4,16104.05,15843.6,16072.5,32561023.0,2525.42
17-SEP-2018,16096.4,16207.5,16080.75,16119.8,22515129.0,1904.73
18-SEP-2018,16152.85,16152.85,16003.2,16031.0,20435865.0,1846.39
19-SEP-2018,16092.65,16115.15,15982.05,16063.95,20373441.0,1731.97
21-SEP-2018,16023.65,16047.2,15579.95,15833.5,56712658.0,3610.12
24-SEP-2018,15862.4,16235.05,15820.65,16175.3,39760654.0,2424.39
25-SEP-2018,16207.0,16360.6,16081.9,16234.9,42199895.0,2581.2
26-SEP-2018,16285.75,16292.3,15877.9,15932.45,44160114.0,2279.32
27-SEP-2018,15979.5,16094.05,15943.9,16018.0,74160242.0,3742.82
28-SEP-2018,15932.1,15972.0,15734.95,15838.05,183715914.0,3620.8
01-OCT-2018,15897.1,16282.05,15861.5,16213.6,135216665.0,3067.73
03-OCT-2018,16208.75,16278.0,15874.25,15909.8,69385750.0,2984.5
04-OCT-2018,15835.2,15835.2,15403.9,15441.1,70098370.0,2853.17
05-OCT-2018,15416.9,15710.0,15265.65,15591.65,44283701.0,2342.35
08-OCT-2018,15538.2,15644.2,15198.25,15305.2,52533348.0,2126.98
09-OCT-2018,15305.15,15429.95,15137.75,15369.8,35164352.0,1891.7
10-OCT-2018,15356.3,15380.85,15053.3,15143.2,32964220.0,2170.24
11-OCT-2018,14721.1,14890.65,14554.25,14683.0,45388816.0,2822.29
12-OCT-2018,14701.85,14721.95,14408.45,14539.2,43233902.0,3441.51
15-OCT-2018,14639.5,14846.95,14564.3,14797.2,31257720.0,1858.35
16-OCT-2018,14876.05,14975.55,14743.9,14887.35,32510210.0,2190.62
17-OCT-2018,15031.05,15190.65,14903.5,14949.6,50083440.0,3450.36
19-OCT-2018,14776.45,14776.45,14421.65,14476.85,50673746.0,3253.51
22-OCT-2018,14527.55,14527.55,14299.15,14421.4,73137494.0,2120.33
23-OCT-2018,14318.95,14406.75,13977.65,14014.7,56646090.0,1958.7
24-OCT-2018,14125.5,14183.55,13826.3,14049.15,36519276.0,2247.7
25-OCT-2018,13894.8,14179.7,13863.9,14070.8,62725558.0,2318.76
26-OCT-2018,14057.05,14070.05,13769.85,13798.6,38506098.0,1524.82
29-OCT-2018,13837.65,14188.0,13696.5,14132.65,31653969.0,1635.13
30-OCT-2018,14088.25,14437.6,14028.8,14355.85,57556185.0,2220.89
31-OCT-2018,14428.7,14994.85,14376.75,14940.1,56390415.0,3208.14
01-NOV-2018,14991.6,14991.6,14541.2,14622.0,41081207.0,1896.8
02-NOV-2018,14639.05,14780.1,14356.1,14396.7,70436201.0,1979.84
05-NOV-2018,14377.5,14534.05,14345.25,14471.75,48190914.0,1580.31
06-NOV-2018,14499.8,14660.15,14468.25,14577.3,43542715.0,1441.6
07-NOV-2018,14654.25,14698.95,14645.05,14674.45,34924680.0,286.2
09-NOV-2018,14793.75,14796.9,14483.35,14553.25,112060387.0,2570.36
12-NOV-2018,14604.95,14821.55,14565.05,14650.5,98145750.0,2357.16
13-NOV-2018,14637.25,14780.0,14561.55,14698.2,48659834.0,1489.31
14-NOV-2018,14662.3,14662.8,14236.7,14338.45,63478110.0,1870.96
15-NOV-2018,14315.45,14573.1,14264.6,14354.15,43775186.0,1619.13
16-NOV-2018,14426.7,14504.5,14356.65,14473.15,58652863.0,2038.39
19-NOV-2018,14544.8,14618.25,14433.2,14599.75,53935954.0,1557.61
20-NOV-2018,14575.25,14575.25,14262.3,14285.05,45487048.0,1366.59
21-NOV-2018,14244.75,14245.05,13827.15,13879.15,46550497.0,2427.16
